date,category,name,change,percentage
2016-05-01,VR Headsets,HTC Vive,0.0007,0.0009
2016-05-01,VR Headsets,Oculus Rift,0.0002,0.0003
2016-05-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-05-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2016-06-01,VR Headsets,HTC Vive,0.0006,0.0015
2016-06-01,VR Headsets,Oculus Rift,0.0003,0.0006
2016-06-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-06-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0001
2016-07-01,VR Headsets,HTC Vive,0.0003,0.0018
2016-07-01,VR Headsets,Oculus Rift,0.0003,0.0009
2016-07-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-07-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2016-08-01,VR Headsets,HTC Vive,0.0,0.0018
2016-08-01,VR Headsets,Oculus Rift,0.0001,0.001
2016-08-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-08-01,VR Headsets,Oculus Rift DK2,0.0001,0.0002
2016-09-01,VR Headsets,HTC Vive,0.0001,0.0019
2016-09-01,VR Headsets,Oculus Rift,-0.0001,0.0009
2016-09-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-09-01,VR Headsets,Oculus Rift DK2,0.0001,0.0003
2016-10-01,VR Headsets,HTC Vive,0.0001,0.002
2016-10-01,VR Headsets,Oculus Rift,0.0001,0.001
2016-10-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-10-01,VR Headsets,Oculus Rift DK2,0.0,0.0003
2016-11-01,VR Headsets,HTC Vive,0.0001,0.0021
2016-11-01,VR Headsets,Oculus Rift,0.0,0.001
2016-11-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-11-01,VR Headsets,Oculus Rift DK2,0.0,0.0003
2016-12-01,VR Headsets,HTC Vive,0.0,0.0023
2016-12-01,VR Headsets,Oculus Rift,0.0,0.0012
2016-12-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2016-12-01,VR Headsets,Oculus Rift DK2,0.0,0.0003
2017-01-01,VR Headsets,HTC Vive,0.0,0.0023
2017-01-01,VR Headsets,Oculus Rift,0.0,0.0012
2017-01-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-01-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0002
2017-02-01,VR Headsets,HTC Vive,0.0,0.0023
2017-02-01,VR Headsets,Oculus Rift,-0.0001,0.0011
2017-02-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-02-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-03-01,VR Headsets,HTC Vive,0.0001,0.0024
2017-03-01,VR Headsets,Oculus Rift,0.0002,0.0013
2017-03-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-03-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-04-01,VR Headsets,HTC Vive,-0.0001,0.0023
2017-04-01,VR Headsets,Oculus Rift,0.0,0.0013
2017-04-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-04-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-05-01,VR Headsets,HTC Vive,-0.0001,0.0022
2017-05-01,VR Headsets,Oculus Rift,0.0,0.0013
2017-05-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-05-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-06-01,VR Headsets,HTC Vive,0.0001,0.0023
2017-06-01,VR Headsets,Oculus Rift,0.0,0.0013
2017-06-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-06-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-07-01,VR Headsets,HTC Vive,0.0,0.0023
2017-07-01,VR Headsets,Oculus Rift,0.0001,0.0014
2017-07-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-07-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-08-01,VR Headsets,HTC Vive,0.0,0.0023
2017-08-01,VR Headsets,Oculus Rift,0.0005,0.0019
2017-08-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-08-01,VR Headsets,Oculus Rift DK2,0.0,0.0002
2017-09-01,VR Headsets,HTC Vive,-0.0004,0.0019
2017-09-01,VR Headsets,Oculus Rift,-0.0001,0.0018
2017-09-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-09-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0001
2017-09-01,VR Headsets,Unknown,0.0,0.0
2017-10-01,VR Headsets,HTC Vive,-0.0007,0.0012
2017-10-01,VR Headsets,Oculus Rift,-0.0007,0.0011
2017-10-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-10-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2017-10-01,VR Headsets,Unknown,0.0,0.0
2017-11-01,VR Headsets,HTC Vive,-0.0002,0.001
2017-11-01,VR Headsets,Oculus Rift,-0.0002,0.0009
2017-11-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-11-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0
2017-11-01,VR Headsets,Unknown,0.0,0.0
2017-12-01,VR Headsets,HTC Vive,0.0,0.0011
2017-12-01,VR Headsets,Oculus Rift,0.0,0.0011
2017-12-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2017-12-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2017-12-01,VR Headsets,Windows Mixed Reality,0.0,0.0
2018-01-01,VR Headsets,HTC Vive,0.0001,0.0012
2018-01-01,VR Headsets,Oculus Rift,0.0001,0.0012
2018-01-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-01-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0
2018-01-01,VR Headsets,Windows Mixed Reality,0.0,0.0
2018-02-01,VR Headsets,HTC Vive,0.0001,0.0013
2018-02-01,VR Headsets,Oculus Rift,0.0002,0.0014
2018-02-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-02-01,VR Headsets,Oculus Rift DK2,0.0001,0.0001
2018-02-01,VR Headsets,Windows Mixed Reality,0.0,0.0
2018-03-01,VR Headsets,HTC Vive,0.0,0.0018
2018-03-01,VR Headsets,Oculus Rift,0.0,0.002
2018-03-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-03-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-03-01,VR Headsets,Unknown,0.0,0.0
2018-03-01,VR Headsets,Windows Mixed Reality,0.0,0.0001
2018-04-01,VR Headsets,HTC Vive,0.001,0.0028
2018-04-01,VR Headsets,Oculus Rift,0.001,0.003
2018-04-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-04-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-04-01,VR Headsets,Unknown,0.0,0.0
2018-04-01,VR Headsets,Windows Mixed Reality,0.0003,0.0004
2018-05-01,VR Headsets,HTC Vive,0.0004,0.0032
2018-05-01,VR Headsets,HTC Vive Pro,0.0001,0.0001
2018-05-01,VR Headsets,Oculus Rift,0.0003,0.0033
2018-05-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-05-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-05-01,VR Headsets,Windows Mixed Reality,0.0001,0.0005
2018-06-01,VR Headsets,HTC Vive,-0.0001,0.0031
2018-06-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2018-06-01,VR Headsets,Oculus Rift,-0.0001,0.0032
2018-06-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-06-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-06-01,VR Headsets,Windows Mixed Reality,0.0,0.0005
2018-07-01,VR Headsets,HTC Vive,-0.0002,0.0029
2018-07-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2018-07-01,VR Headsets,Oculus Rift,-0.0002,0.003
2018-07-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-07-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-07-01,VR Headsets,Windows Mixed Reality,-0.0001,0.0004
2018-08-01,VR Headsets,HTC Vive,0.0003,0.0032
2018-08-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2018-08-01,VR Headsets,Huawei VR2,0.0,0.0
2018-08-01,VR Headsets,Oculus Rift,0.0005,0.0035
2018-08-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-08-01,VR Headsets,Windows Mixed Reality,0.0001,0.0005
2018-09-01,VR Headsets,HTC Vive,-0.0001,0.0031
2018-09-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2018-09-01,VR Headsets,Oculus Rift,-0.0001,0.0034
2018-09-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-09-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-09-01,VR Headsets,Windows Mixed Reality,0.0,0.0005
2018-10-01,VR Headsets,HTC Vive,0.0,0.0031
2018-10-01,VR Headsets,HTC Vive Pro,0.0001,0.0002
2018-10-01,VR Headsets,Oculus Rift,-0.0001,0.0033
2018-10-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-10-01,VR Headsets,Unknown,0.0,0.0
2018-10-01,VR Headsets,Windows Mixed Reality,0.0001,0.0006
2018-11-01,VR Headsets,HTC Vive,0.0002,0.0033
2018-11-01,VR Headsets,HTC Vive Pro,0.0,0.0002
2018-11-01,VR Headsets,Oculus Rift,0.0003,0.0036
2018-11-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-11-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-11-01,VR Headsets,Unknown,0.0,0.0
2018-11-01,VR Headsets,Windows Mixed Reality,0.0,0.0006
2018-12-01,VR Headsets,HTC Vive,0.0,0.0033
2018-12-01,VR Headsets,HTC Vive Pro,0.0,0.0002
2018-12-01,VR Headsets,Huawei VR2,0.0,0.0
2018-12-01,VR Headsets,Oculus Rift,0.0001,0.0037
2018-12-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2018-12-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2018-12-01,VR Headsets,Windows Mixed Reality,0.0001,0.0007
2019-01-01,VR Headsets,HTC Vive,0.0004,0.0037
2019-01-01,VR Headsets,HTC Vive Pro,0.0,0.0002
2019-01-01,VR Headsets,Huawei VR2,0.0,0.0
2019-01-01,VR Headsets,Oculus Rift,0.0006,0.0043
2019-01-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-01-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2019-01-01,VR Headsets,Windows Mixed Reality,0.0001,0.0008
2019-02-01,VR Headsets,HTC Vive,-0.0002,0.0035
2019-02-01,VR Headsets,HTC Vive Pro,0.0,0.0002
2019-02-01,VR Headsets,Oculus Rift,0.0,0.0043
2019-02-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-02-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2019-02-01,VR Headsets,Windows Mixed Reality,0.0,0.0008
2019-03-01,VR Headsets,HTC Vive,0.0,0.0038
2019-03-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2019-03-01,VR Headsets,Oculus Rift,0.0,0.0046
2019-03-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-03-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2019-03-01,VR Headsets,Windows Mixed Reality,0.0,0.001
2019-04-01,VR Headsets,HTC Vive,0.0,0.0038
2019-04-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2019-04-01,VR Headsets,Huawei VR2,0.0,0.0
2019-04-01,VR Headsets,Oculus Rift,-0.0004,0.0042
2019-04-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-04-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2019-04-01,VR Headsets,Windows Mixed Reality,0.0,0.001
2019-05-01,VR Headsets,HTC Vive,0.0003,0.0041
2019-05-01,VR Headsets,HTC Vive Pro,0.0,0.0001
2019-05-01,VR Headsets,Huawei VR2,0.0,0.0
2019-05-01,VR Headsets,Oculus Rift,0.0004,0.0046
2019-05-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-05-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2019-05-01,VR Headsets,Windows Mixed Reality,0.0,0.001
2019-06-01,VR Headsets,HTC Vive,0.0,0.0041
2019-06-01,VR Headsets,HTC Vive Pro,0.0001,0.0002
2019-06-01,VR Headsets,Huawei VR2,0.0,0.0
2019-06-01,VR Headsets,Oculus Rift,-0.0002,0.0044
2019-06-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-06-01,VR Headsets,Oculus Rift DK2,0.0,0.0001
2019-06-01,VR Headsets,Unknown,0.0001,0.0001
2019-06-01,VR Headsets,Windows Mixed Reality,0.0001,0.0011
2019-07-01,VR Headsets,HTC Vive,-0.0004,0.0037
2019-07-01,VR Headsets,HTC Vive Pro,0.0,0.0002
2019-07-01,VR Headsets,Huawei VR2,0.0,0.0
2019-07-01,VR Headsets,Oculus Rift,-0.0003,0.0041
2019-07-01,VR Headsets,Oculus Rift DK1,0.0,0.0
2019-07-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0
